"Hora Unix";"Hora Local";"Distancia";"Ticks";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
1736429060.303759;"2025-01-09 10:24:20.303759";"000.01";0;" ";" ";" "
1736429060.334097;"2025-01-09 10:24:20.334097";"000.01";0;" ";" ";" "
1736429060.36392;"2025-01-09 10:24:20.363920";"000.01";0;" ";" ";" "
1736429060.393204;"2025-01-09 10:24:20.393204";"000.01";0;" ";" ";" "
1736429060.423895;"2025-01-09 10:24:20.423895";"000.01";0;" ";" ";" "
1736429060.47312;"2025-01-09 10:24:20.473120";"000.01";0;" ";" ";" "
1736429060.503098;"2025-01-09 10:24:20.503098";"000.01";0;" ";" ";" "
1736429060.532213;"2025-01-09 10:24:20.532213";"000.01";0;" ";" ";" "
1736429060.561444;"2025-01-09 10:24:20.561444";"000.01";0;" ";" ";" "
1736429060.590762;"2025-01-09 10:24:20.590762";"000.01";0;" ";" ";" "
1736429060.620031;"2025-01-09 10:24:20.620031";"000.01";0;" ";" ";" "
1736429060.649431;"2025-01-09 10:24:20.649431";"000.01";0;" ";" ";" "
1736429060.679837;"2025-01-09 10:24:20.679837";"000.01";0;" ";" ";" "
1736429060.708784;"2025-01-09 10:24:20.708784";"000.01";0;" ";" ";" "
1736429060.739347;"2025-01-09 10:24:20.739347";"000.01";0;" ";" ";" "
1736429060.768759;"2025-01-09 10:24:20.768759";"000.01";0;" ";" ";" "
1736429060.798993;"2025-01-09 10:24:20.798993";"000.01";0;" ";" ";" "
1736429060.828911;"2025-01-09 10:24:20.828911";"000.01";0;" ";" ";" "
1736429060.858467;"2025-01-09 10:24:20.858467";"000.01";0;" ";" ";" "
1736429060.887294;"2025-01-09 10:24:20.887294";"000.01";0;" ";" ";" "
1736429060.917237;"2025-01-09 10:24:20.917237";"000.01";0;" ";" ";" "
1736429060.946762;"2025-01-09 10:24:20.946762";"000.01";0;" ";" ";" "
1736429060.976409;"2025-01-09 10:24:20.976409";"000.01";0;" ";" ";" "
1736429061.006316;"2025-01-09 10:24:21.006316";"000.01";0;" ";" ";" "
1736429061.035555;"2025-01-09 10:24:21.035555";"000.01";0;" ";" ";" "
1736429061.065307;"2025-01-09 10:24:21.065307";"000.01";0;" ";" ";" "
1736429061.095412;"2025-01-09 10:24:21.096447";"000.01";0;" ";" ";" "
1736429061.125204;"2025-01-09 10:24:21.125204";"000.01";0;" ";" ";" "
1736429061.154568;"2025-01-09 10:24:21.154568";"000.01";0;" ";" ";" "
1736429061.184874;"2025-01-09 10:24:21.184874";"000.01";0;" ";" ";" "
1736429061.214703;"2025-01-09 10:24:21.214703";"000.01";0;" ";" ";" "
1736429061.245641;"2025-01-09 10:24:21.245641";"000.01";0;" ";" ";" "
1736429061.274803;"2025-01-09 10:24:21.274803";"000.01";0;" ";" ";" "
1736429061.305079;"2025-01-09 10:24:21.305079";"000.01";0;" ";" ";" "
1736429061.335216;"2025-01-09 10:24:21.335216";"000.01";0;" ";" ";" "
1736429061.363834;"2025-01-09 10:24:21.363834";"000.01";0;" ";" ";" "
1736429061.394277;"2025-01-09 10:24:21.394277";"000.01";0;" ";" ";" "
1736429061.423157;"2025-01-09 10:24:21.423157";"000.01";0;" ";" ";" "
1736429061.453906;"2025-01-09 10:24:21.453906";"000.01";0;" ";" ";" "
1736429061.483574;"2025-01-09 10:24:21.483574";"000.01";0;" ";" ";" "
1736429061.513897;"2025-01-09 10:24:21.513897";"000.01";0;" ";" ";" "
1736429061.543392;"2025-01-09 10:24:21.543392";"000.01";0;" ";" ";" "
1736429061.572766;"2025-01-09 10:24:21.572766";"000.01";0;" ";" ";" "
1736429061.602407;"2025-01-09 10:24:21.602407";"000.01";0;" ";" ";" "
1736429061.632294;"2025-01-09 10:24:21.632294";"000.01";0;" ";" ";" "
1736429061.662335;"2025-01-09 10:24:21.662335";"000.01";0;" ";" ";" "
1736429061.691737;"2025-01-09 10:24:21.691737";"000.01";0;" ";" ";" "
1736429061.721476;"2025-01-09 10:24:21.721476";"000.01";0;" ";" ";" "
1736429061.75168;"2025-01-09 10:24:21.751680";"000.01";0;" ";" ";" "
1736429061.781823;"2025-01-09 10:24:21.781823";"000.01";0;" ";" ";" "
1736429061.811755;"2025-01-09 10:24:21.811755";"000.01";0;" ";" ";" "
