"Hora";"Distancia";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
"10:10:41.021640";"000.01";" ";" ";" "
"10:10:41.051740";"000.01";" ";" ";" "
"10:10:41.080282";"000.01";" ";" ";" "
"10:10:41.110383";"000.01";" ";" ";" "
"10:10:41.141473";"000.01";" ";" ";" "
"10:10:41.171007";"000.01";" ";" ";" "
"10:10:41.199624";"000.01";" ";" ";" "
"10:10:41.229114";"000.01";" ";" ";" "
"10:10:41.259061";"000.01";" ";" ";" "
"10:10:41.288681";"000.01";" ";" ";" "
"10:10:41.318688";"000.01";" ";" ";" "
"10:10:41.348364";"000.01";" ";" ";" "
"10:10:41.377975";"000.01";" ";" ";" "
"10:10:41.406902";"000.01";" ";" ";" "
"10:10:41.436759";"000.01";" ";" ";" "
"10:10:41.466013";"000.01";" ";" ";" "
"10:10:41.494967";"000.01";" ";" ";" "
"10:10:41.525266";"000.01";" ";" ";" "
"10:10:41.555092";"000.01";" ";" ";" "
"10:10:41.585203";"000.01";" ";" ";" "
"10:10:41.615106";"000.01";" ";" ";" "
"10:10:41.645007";"000.01";" ";" ";" "
"10:10:41.674312";"000.01";" ";" ";" "
"10:10:41.703744";"000.01";" ";" ";" "
"10:10:41.733950";"000.01";" ";" ";" "
"10:10:41.763612";"000.01";" ";" ";" "
"10:10:41.793519";"000.01";" ";" ";" "
"10:10:41.823206";"000.01";" ";" ";" "
"10:10:41.852702";"000.01";" ";" ";" "
"10:10:41.882350";"000.01";" ";" ";" "
"10:10:41.911351";"000.01";" ";" ";" "
"10:10:41.942133";"000.01";" ";" ";" "
"10:10:41.970953";"000.01";" ";" ";" "
"10:10:42.001453";"000.01";" ";" ";" "
"10:10:42.030817";"000.01";" ";" ";" "
"10:10:42.060735";"000.01";" ";" ";" "
"10:10:42.090743";"000.01";" ";" ";" "
"10:10:42.124094";"000.01";" ";" ";" "
"10:10:42.153613";"000.01";" ";" ";" "
"10:10:42.182609";"000.01";" ";" ";" "
"10:10:42.212293";"000.01";" ";" ";" "
"10:10:42.241390";"000.01";" ";" ";" "
"10:10:42.271082";"000.01";" ";" ";" "
"10:10:42.301261";"000.01";" ";" ";" "
"10:10:42.331306";"000.01";" ";" ";" "
"10:10:42.361159";"000.01";" ";" ";" "
"10:10:42.390888";"000.01";" ";" ";" "
"10:10:42.421485";"000.01";" ";" ";" "
"10:10:42.450807";"000.01";" ";" ";" "
"10:10:42.480285";"000.01";" ";" ";" "
"10:10:42.509910";"000.01";" ";" ";" "
"10:10:42.539765";"000.01";" ";" ";" "
"10:10:42.569330";"000.01";" ";" ";" "
"10:10:42.600438";"000.01";" ";" ";" "
"10:10:42.630109";"000.01";" ";" ";" "
"10:10:42.659829";"000.01";" ";" ";" "
"10:10:42.689863";"000.01";" ";" ";" "
"10:10:42.721578";"000.01";" ";" ";" "
"10:10:42.750521";"000.01";" ";" ";" "
"10:10:42.780374";"000.01";" ";" ";" "
"10:10:42.811036";"000.01";" ";" ";" "
"10:10:42.839854";"000.01";" ";" ";" "
"10:10:42.869986";"000.01";" ";" ";" "
"10:10:42.900118";"000.01";" ";" ";" "
"10:10:42.929290";"000.01";" ";" ";" "
"10:10:42.958266";"000.01";" ";" ";" "
"10:10:42.988321";"000.01";" ";" ";" "
"10:10:43.019126";"000.01";" ";" ";" "
"10:10:43.048500";"000.01";" ";" ";" "
"10:10:43.077725";"000.01";" ";" ";" "
"10:10:43.106872";"000.01";" ";" ";" "
"10:10:43.136579";"000.01";" ";" ";" "
"10:10:43.165712";"000.01";" ";" ";" "
"10:10:43.194632";"000.01";" ";" ";" "
"10:10:43.224868";"000.01";" ";" ";" "
"10:10:43.254718";"000.01";" ";" ";" "
"10:10:43.284203";"000.01";" ";" ";" "
"10:10:43.313538";"000.01";" ";" ";" "
"10:10:43.342646";"000.01";" ";" ";" "
"10:10:43.372809";"000.01";" ";" ";" "
"10:10:43.404193";"000.01";" ";" ";" "
"10:10:43.432821";"000.01";" ";" ";" "
"10:10:43.503786";"000.01";" ";" ";" "
"10:10:43.533601";"000.01";" ";" ";" "
"10:10:43.563447";"000.01";" ";" ";" "
"10:10:43.592792";"000.01";" ";" ";" "
"10:10:43.622145";"000.01";" ";" ";" "
"10:10:43.651899";"000.01";" ";" ";" "
"10:10:43.681900";"000.01";" ";" ";" "
"10:10:43.711704";"000.01";" ";" ";" "
"10:10:43.740807";"000.01";" ";" ";" "
"10:10:43.770330";"000.01";" ";" ";" "
"10:10:43.801179";"000.01";" ";" ";" "
"10:10:43.830381";"000.01";" ";" ";" "
"10:10:43.860532";"000.01";" ";" ";" "
"10:10:43.889817";"000.01";" ";" ";" "
"10:10:43.919675";"000.01";" ";" ";" "
"10:10:43.950906";"000.01";" ";" ";" "
"10:10:43.980514";"000.01";" ";" ";" "
"10:10:44.010958";"000.01";" ";" ";" "
"10:10:44.039570";"000.01";" ";" ";" "
"10:10:44.068906";"000.01";" ";" ";" "
"10:10:44.100025";"000.01";" ";" ";" "
"10:10:44.129050";"000.01";" ";" ";" "
"10:10:44.158838";"000.01";" ";" ";" "
"10:10:44.189488";"000.01";" ";" ";" "
"10:10:44.219590";"000.01";" ";" ";" "
"10:10:44.249090";"000.01";" ";" ";" "
"10:10:44.279262";"000.01";" ";" ";" "
"10:10:44.309498";"000.01";" ";" ";" "
"10:10:44.339378";"000.01";" ";" ";" "
"10:10:44.369595";"000.01";" ";" ";" "
"10:10:44.398741";"000.01";" ";" ";" "
"10:10:44.427987";"000.01";" ";" ";" "
"10:10:44.457760";"000.01";" ";" ";" "
"10:10:44.487813";"000.01";" ";" ";" "
"10:10:44.517483";"000.01";" ";" ";" "
"10:10:44.547302";"000.01";" ";" ";" "
"10:10:44.577199";"000.01";" ";" ";" "
"10:10:44.607065";"000.01";" ";" ";" "
"10:10:44.636851";"000.01";" ";" ";" "
"10:10:44.667466";"000.01";" ";" ";" "
"10:10:44.696943";"000.01";" ";" ";" "
"10:10:44.726651";"000.01";" ";" ";" "
"10:10:44.757399";"000.01";" ";" ";" "
"10:10:44.786369";"000.01";" ";" ";" "
"10:10:44.815620";"000.01";" ";" ";" "
"10:10:44.844556";"000.01";" ";" ";" "
"10:10:44.874234";"000.01";" ";" ";" "
"10:10:44.904124";"000.01";" ";" ";" "
"10:10:44.934389";"000.01";" ";" ";" "
"10:10:44.964730";"000.01";" ";" ";" "
"10:10:44.994349";"000.01";" ";" ";" "
"10:10:45.023175";"000.01";" ";" ";" "
"10:10:45.053400";"000.01";" ";" ";" "
"10:10:45.082341";"000.01";" ";" ";" "
"10:10:45.112364";"000.01";" ";" ";" "
"10:10:45.141511";"000.01";" ";" ";" "
"10:10:45.171626";"000.01";" ";" ";" "
"10:10:45.200748";"000.01";" ";" ";" "
"10:10:45.230214";"000.01";" ";" ";" "
"10:10:45.260994";"000.01";" ";" ";" "
"10:10:45.290040";"000.01";" ";" ";" "
"10:10:45.319815";"000.01";" ";" ";" "
"10:10:45.349696";"000.01";" ";" ";" "
"10:10:45.378370";"000.01";" ";" ";" "
"10:10:45.407971";"000.01";" ";" ";" "
"10:10:45.437044";"000.01";" ";" ";" "
"10:10:45.466725";"000.01";" ";" ";" "
"10:10:45.496202";"000.01";" ";" ";" "
"10:10:45.526447";"000.01";" ";" ";" "
"10:10:45.556310";"000.01";" ";" ";" "
"10:10:45.585517";"000.01";" ";" ";" "
"10:10:45.614962";"000.01";" ";" ";" "
"10:10:45.644586";"000.01";" ";" ";" "
"10:10:45.674691";"000.01";" ";" ";" "
"10:10:45.705413";"000.01";" ";" ";" "
"10:10:45.734572";"000.01";" ";" ";" "
"10:10:45.765417";"000.01";" ";" ";" "
"10:10:45.794359";"000.01";" ";" ";" "
"10:10:45.823538";"000.01";" ";" ";" "
"10:10:45.853244";"000.01";" ";" ";" "
"10:10:45.884603";"000.01";" ";" ";" "
"10:10:45.914362";"000.01";" ";" ";" "
"10:10:45.944188";"000.01";" ";" ";" "
"10:10:45.973503";"000.01";" ";" ";" "
"10:10:46.002522";"000.01";" ";" ";" "
"10:10:46.031767";"000.01";" ";" ";" "
"10:10:46.061538";"000.01";" ";" ";" "
"10:10:46.090452";"000.01";" ";" ";" "
"10:10:46.120271";"000.01";" ";" ";" "
"10:10:46.151336";"000.01";" ";" ";" "
"10:10:46.180263";"000.01";" ";" ";" "
"10:10:46.237712";"000.01";" ";" ";" "
"10:10:46.270253";"000.01";" ";" ";" "
"10:10:46.300394";"000.01";" ";" ";" "
"10:10:46.330680";"000.01";" ";" ";" "
"10:10:46.359789";"000.01";" ";" ";" "
"10:10:46.389583";"000.01";" ";" ";" "
"10:10:46.419415";"000.01";" ";" ";" "
"10:10:46.450245";"000.01";" ";" ";" "
"10:10:46.479024";"000.01";" ";" ";" "
"10:10:46.509916";"000.01";" ";" ";" "
"10:10:46.540513";"000.01";" ";" ";" "
"10:10:46.570540";"000.01";" ";" ";" "
"10:10:46.599696";"000.01";" ";" ";" "
"10:10:46.629487";"000.01";" ";" ";" "
"10:10:46.658648";"000.01";" ";" ";" "
"10:10:46.687684";"000.01";" ";" ";" "
"10:10:46.716818";"000.01";" ";" ";" "
"10:10:46.746321";"000.01";" ";" ";" "
"10:10:46.776242";"000.01";" ";" ";" "
"10:10:46.805681";"000.01";" ";" ";" "
"10:10:46.838867";"000.01";" ";" ";" "
"10:10:46.870044";"000.01";" ";" ";" "
"10:10:46.899068";"000.01";" ";" ";" "
"10:10:46.930664";"000.01";" ";" ";" "
"10:10:46.959872";"000.01";" ";" ";" "
"10:10:46.989051";"000.01";" ";" ";" "
"10:10:47.018698";"000.01";" ";" ";" "
"10:10:47.048877";"000.01";" ";" ";" "
"10:10:47.079191";"000.01";" ";" ";" "
"10:10:47.108526";"000.01";" ";" ";" "
"10:10:47.138985";"000.01";" ";" ";" "
"10:10:47.168750";"000.01";" ";" ";" "
"10:10:47.199443";"000.01";" ";" ";" "
"10:10:47.228762";"000.01";" ";" ";" "
"10:10:47.257574";"000.01";" ";" ";" "
"10:10:47.286994";"000.01";" ";" ";" "
"10:10:47.317317";"000.01";" ";" ";" "
"10:10:47.347098";"000.01";" ";" ";" "
"10:10:47.376247";"000.01";" ";" ";" "
"10:10:47.407167";"000.01";" ";" ";" "
"10:10:47.437329";"000.01";" ";" ";" "
"10:10:47.466816";"000.01";" ";" ";" "
"10:10:47.496716";"000.01";" ";" ";" "
"10:10:47.525757";"000.01";" ";" ";" "
"10:10:47.555089";"000.01";" ";" ";" "
"10:10:47.594603";"000.01";" ";" ";" "
"10:10:47.624263";"000.01";" ";" ";" "
"10:10:47.654048";"000.01";" ";" ";" "
"10:10:47.683690";"000.01";" ";" ";" "
"10:10:47.713210";"000.01";" ";" ";" "
"10:10:47.742980";"000.01";" ";" ";" "
"10:10:47.772437";"000.01";" ";" ";" "
"10:10:47.801929";"000.01";" ";" ";" "
"10:10:47.832455";"000.01";" ";" ";" "
"10:10:47.862029";"000.01";" ";" ";" "
"10:10:47.890949";"000.01";" ";" ";" "
"10:10:47.920730";"000.01";" ";" ";" "
"10:10:47.963798";"000.01";" ";" ";" "
"10:10:47.992834";"000.01";" ";" ";" "
"10:10:48.022356";"000.01";" ";" ";" "
"10:10:48.051880";"000.01";" ";" ";" "
"10:10:48.081502";"000.01";" ";" ";" "
"10:10:48.110595";"000.01";" ";" ";" "
"10:10:48.141200";"000.01";" ";" ";" "
"10:10:48.170794";"000.01";" ";" ";" "
"10:10:48.200723";"000.01";" ";" ";" "
